id_membre;nom;sexe;profession;spécialité;naissance;NOM_PRENOM
257;Xavier Vandendriessche;H;chercheur;droit;1961;VANDENDRIESSCHE_XAVIER
37;André Glucksman;H;professeur agrégé;philosophie;1937;GLUCKSMAN_ANDRE
53;Bernard Cazeau;H;"politicien;médecin";"";1939;CAZEAU_BERNARD
79;Dominique Thouvenin;F;professeur d'université;droit;1953;THOUVENIN_DOMINIQUE
116;Régis Aubry;H;médecin;soin palliatifs;1958;AUBRY_REGIS
155;Michel Van Praët;H;chercheur;musée;1949;VAN@PRAET_MICHEL
161;Christiane Basset;F;militant;famille;1946;BASSET_CHRISTIANE
175;Jean-Pierre Kahane;H;chercheur;mathématiques;1926;KAHANE_JEAN-PIERRE
187;Claudine Tiercelin;F;chercheur;philosophie;1952;TIERCELIN_CLAUDINE
195;Margaret Buckingham;F;biologiste;développement;1945;BUCKINGHAM_MARGARET
213;Alice René;F;"";neurologie;1977;RENE_ALICE
224;Francis Puech;H;médecin;gynécologie;;PUECH_FRANCIS
267;Didier Truchet;H;chercheur;droit;1948;TRUCHET_DIDIER
275;Pierre-Henri Duée;H;biologiste;agronomie;;DUEE_PIERRE-HENRI
10;Michaël Azoulay;H;théologien;judaïsme;1971;AZOULAY_MICHAEL
17;Louis Schweitzer;H;théologien;protestantisme;;SCHWEITZER_LOUIS
36;Luc Ferry;H;chercheur;philosophie;1951;FERRY_LUC
89;Bertrand Weil;H;médecin;"";1935;WEIL_BERTRAND
132;François Beaufils;H;médecin;pédiatrie;1939;BEAUFILS_FRANCOIS
140;Sylvie Cazalot;F;infirmière;"";;CAZALOT_SYLVIE
146;Joëlle Belaisch-Allart;F;médecin;gynécologie;1953;BELAISCH-ALLART_JOELLE
174;Gérard Ferey;H;chercheur;chimie;1941;FEREY_GERARD
212;Danièle Siroux;F;"juriste;ITA";"";;SIROUX_DANIELE
228;Yves Agid;H;médecin;"";1940;AGID_YVES
233;Jean-Louis Vildé;H;médecin;épidémiologie;1938;VILDE_JEAN-LOUIS
256;Claude Matuchansky;H;médecin;gastro-entérologue;1941;MATUCHANSKY_CLAUDE
274;Emmanuel Jolivet;H;médecin;"réanimation;pédiatrie";1979;JOLIVET_EMMANUEL
4;Alain Grimfeld;H;médecin;pédiatrie;1941;GRIMFELD_ALAIN
25;Ali Benmakhlouf;H;chercheur;philosophie;1959;BENMAKHLOUF_ALI
31;Xavier Lacroix;H;théologien;catholicisme;;LACROIX_XAVIER
63;Frédérique Dreifuss-Netter;F;magistrat;"";1950;DREIFUSS-NETTER_FREDERIQUE
102;Alain Cordier;H;haut fonctionnaire;"";1954;CORDIER_ALAIN
110;André Comte-Sponville;H;chercheur;philosophie;1952;COMTE-SPONVILLE_ANDRE
124;Anne-Marie Dickelé;F;psychologue;"";;DICKELE_ANNE-MARIE
167;Claire Legras;F;magistrat;"";1973;LEGRAS_CLAIRE
173;Pierre Joliot;H;biologiste;"";1932;JOLIOT_PIERRE
200;Marie-Germaine Bousser;F;médecin;neurologie;1943;BOUSSER_MARIE-GERMAINE
223;Annick Alpérovitch;F;médecin;épidémiologie;1941;ALPEROVITCH_ANNICK
240;Roger-Pol Droit;H;"chercheur;journaliste";philosophie;1949;DROIT_ROGER-POL
248;Patrick Gaudray;H;biologiste;génétique;1951;GAUDRAY_PATRICK
255;Georges Faure;H;chercheur;droit;1960;FAURE_GEORGES
5;Jean-Claude Ameisen;H;médecin;immunologie;1951;AMEISEN_JEAN-CLAUDE
9;Haïm Korsia;H;théologien;judaïsme;1963;KORSIA_HAIM
16;Olivier Abel;H;chercheur;protestantisme;1953;ABEL_OLIVIER
52;Marie-Thérèse Hermange;H;politicien;"";1937;HERMANGE_MARIE-THERESE
57;Michel Roux;H;magistrat;"";1935;ROUX_MICHEL
62;Philippe Waquet;H;magistrat;"";1933;WAQUET_PHILIPPE
71;Lucien Neuwirth;H;politicien;"";1924;NEUWIRTH_LUCIEN
84;Dominique Stoppa-Lyonnet;F;médecin;génétique;1956;STOPPA-LYONNET_DOMINIQUE
88;Christian de Rouffignac;H;biologiste;cellulaire;1945;DE@ROUFFIGNAC_CHRISTIAN
95;Philippe Rouvillois;H;ENArque;"";1935;ROUVILLOIS_PHILIPPE
123;Alain Grimfeld;H;médecin;pédiatrie;1941;GRIMFELD_ALAIN
131;Bernard Kanovitch;H;médecin;rhumathologie;;KANOVITCH_BERNARD
172;Robert Nauquet;H;"médecin;biologiste";neurologie;1923;NAUQUET_ROBERT
180;Claude Sureau;H;médecin;"";1927;SUREAU_CLAUDE
227;Alain Fischer;H;médecin;"génétique;immunologie";1949;FISCHER_ALAIN
273;Pierre Le Neindre;H;biologiste;agronomie;;LE@NEINDRE_PIERRE
46;Jean Bardet;H;"politicien;médecin";cardiologie;1941;BARDET_JEAN
115;Pierre Le Coz;H;chercheur;philosophie;1964;LE@COZ_PIERRE
145;Jacqueline Mandelbaum;F;médecin;reproduction;1946;MANDELBAUM_JACQUELINE
154;Alain-Gérard Slama;H;journaliste;"";1942;SLAMA_ALAIN-GERARD
160;Chantal Lebatard;F;militant;famille;;LEBATARD_CHANTAL
186;Mireille Delmas-Marty;F;chercheur;droit;1941;DELMAS-MARTY_MIREILLE
194;Pascale Cossart;F;biologiste;microbiologie;1948;COSSART_PASCALE
199;Claude Kordon;F;biologiste;"";1934;KORDON_CLAUDE
222;Carole Moquin-Pattey;F;chercheur;pharmacologie;;MOQUIN-PATTEY_CAROLE
266;Claude Burlet;H;médecin;"";1942;BURLET_CLAUDE
272;Yves Chupeau;H;biologiste;cellulaire;1944;CHUPEAU_YVES
45;Alain Claeys;H;politicien;économie;1948;CLAEYS_ALAIN
51;Jean-Louis Lorrain;H;"politicien;médecin";"";1948;LORRAIN_JEAN-LOUIS
70;Anne Cambon-Thomsen;F;médecin;"immunologie;génétique";1949;CAMBON-THOMSEN_ANNE
